Accelerator / Incubator,Website,Country,City,Industries,Founders,Founded Date,Number of Investments,Number of Exits
Zurich Innovation Championship,https://www.zurich.com/campaigns/zic?page_url_input_url=https%3a%2f%2fwww.zurich.com%2fzic,Switzerland,Zürich,Technology,,,,
REAKTOR #3,https://www.f6s.com/reaktor3/about,Belgium,Namur,Industry Agnostic,,,,
Born from Knowledge,http://bfk.ani.pt/pt/,Portugal,Lisbon,"Life Science, Technology",,,,
Prama Investments BV,https://www.ukukhula.nl/,The Netherlands,Amersfoort,"Web-Based Platforms, E-Learning, Infinite Computing, 3D Printing, Nanomaterials, Nanotechnology, AI, Robotics, Water, Sanitation, Genetics, Synthetic Biology",,2016,,
Vive.VC,https://www.vive.vc/,United States,Manassas,"Automation, Software Development",,,,
BlockIS - Hungary,https://blockis.eu,Hungary,Budapest,"Blockchain, AgriFood, Logistics",,,,
HealthCareLab,https://healthcarelab.eu/,Slovakia,Bratislava,"Healthcare, Technology",,2020,,
STLC Accelerator,https://gtlk.generation-startup.ru/en/,Russia,Moscow,Transportation,,,,
SAP.iO Foundry Munich,https://sap.io/foundry-munich/,Germany,Munich,Industry Agnostic,,,,
BITS Pilani Technology Business Incubator,http://www.bits-pilani.ac.in/pilani/technologybusiness/TechnologyBusinessIncubator,India,Hyderabad,Technology,"G. D. Birla, Shashvat Tripathi",,,
Knowcap Exchange,https://www.knowcap.io/,United States,Atlanta,Industry Agnostic,,,,
Norrköping Science Park,http://www.nosp.se/,Sweden,Norrköping,"Technology, Impact, Science",,,,
The Capital Network,http://www.thecapitalnetwork.org/,United States,Boston,"Women, Industry Agnostic",,,,
Alpha Programme Dublin,https://www.huckletree.com/alpha,Ireland,Dublin,"HealthTech, EdTech, Parenttech",,2014,,
The Blox,https://www.theblox.co/,France,Paris,"FinTech, Web3, Blockchain, AI",,2021,,
X-Europe for corporates - HealthTech,https://www.xeurope.eu/,The Netherlands,Amsterdam,"HealthTech, Biotech, AgTech, AI, Machine Learning, Smart Cities, Sustainability, Spacetech, FinTech",,,,
ITACA Business Incubator,http://itaca.cz,Czech Republic,Prague,"Cleantech, MedTech, FinTech, Cyber Security, Blockchain, AI, Big Data, Cloud",,2017,,
MEET Ventures,http://www.meetvcs.com,Singapore,Singapore,Industry Agnostic,,2019,,
NGI TETRA,https://business.ngi.eu/,Estonia,Tallinn,"AI, IoT, Interactive Technologies",,,,
Soft-Landing Zoetermeer,https://soft-landing.eu/,The Netherlands,Zoetermeer,"Horticulture, Agriculture, Food, Water, Life Sciences, Health, Chemistry, High Tech, Energy, Logistics",,,,
Next Sequence,https://www.thenextsequence.com/,France,Paris,"Biotech, AI",Loretta TIOIELA,,,
Troy Labs,https://www.troylabs.vc/,United States,Los Angeles,Industry Agnostic,"Ankur Karwal, Ashan Marla, Diego Socorro, Zach Sullens",,,
Sky High,http://neverstop.co/skyhigh/,United States,Memphis,Sustainable Mobility,,,,
Qatar Fintech Hub,https://fintech.qa/,Qatar,Doha,FinTech,,2018,,
Cisco LaunchPad,http://www.cisco.com/c/m/en_in/launchpad/index.html,India,Bangalore,"Networking Infrastructure, Security, IoT, AI, Machine Learning, Image Processing, Video Analytics, DeepTech, HealthTech",Sruthi Kannan,2017,,
C2M,http://c2mservices.com,United States,Beaverton,Industry Agnostic,,2012,,
MAD Incubator,http://www.incubator.com.my,Malaysia,Petaling Jaya,Industry Agnostic,Andrew Wong,2009,,
Songshan Lake Xbot Park,http://www.xbotpark.com,China,Dongguan,"Industry 4.0, Agriculture, Smart Home, Smart City, IoT, Consumer Good, Health",,2014,,
Expa Labs,http://expa.com/labs/,United States,San Francisco,Industry Agnostic,,2016,,
StartUp Port,http://startup-port.com/,United States,Chicago,Industry Agnostic,,2008,,
Mehl Partners,https://www.mehlpartners.com,Israel,Jerusalem,"HighTech, Technology","Avi Mehl, Norbert Mehl",2013,,
The Veloz Group,http://thevelozgroup.com,United States,Los Angeles,Technology,,2012,,
Cardinal Ventures,http://www.cardinalventures.org/,United States,Stanford,Industry Agnostic,,2015,,
AdvisoryClub,https://advisoryclub.com,United States,New York,Industry Agnostic,,2021,,
Swiss Financiers,http://SwissFinanciers.com,United States,New York,FinTech,Alex Kummerman,2019,,
Accelerice,http://www.accelerice.com/,Indonesia,Jakarta,"Food, Beverages",,2018,,
Bethesda Green,https://bethesdagreen.org,United States,Bethesda,Environmental Services,,2008,,
VentureCrushFG,https://www.venturecrush.com/fg/index.html,United States,New York,Technology,Edward Zimmerman,2009,,
Incuvation Labs LLC,http://www.incuvationlabs.com/,United States,Artesia,Industry Agnostic,"Ghassan Gholmieh, Kenneth Tran",2013,,
Silicon Schools,http://www.siliconschools.com/,United States,Oakland,"Education, Education Organizations",,2012,,
The Innovation Institute,http://www.ii4change.com/,United States,La Palma,"Healthcare, Medical Devices",,2013,,
Stella,http://www.hera-labs.com/,United States,San Diego,"Women, Industry Agnostic",Felena Hanson,2012,,
Velocis,http://velocis.us/,United States,Dallas,Information Technology,,2008,,
Cleantech Open Midwest,https://cleantechopen.org/en/page/midwest-en,United States,Minneapolis,"Environment Tech, Energy Tech",,,,
Startups Ignite,https://startups-ignite.com,United States,Vienna,Industry Agnostic,,2014,,
Aviatra Accelerator,http://aviatraaccelerators.org/,United States,Cincinnati,"Women, Industry Agnostic",Candace Klein,2010,,
National Incubation Center Karachi,http://www.nickarachi.com/,Pakistan,Islamabad,"Education, Agriculture, Commerce, Waste, Robotics",,2018,,
Eureka Nova,https://www.eurekanova.com/,Hong Kong,Kwun Tong,Industry Agnostic,Adrian Cheng,2017,,
Almaty Tech Garden,http://techgarden.kz,Kazakhstan,Almaty,"Industry 4.0, Smart City, FinTech, Banking, Insurance, New Materials, Retail, Ecommerce, Logistics, EdTech, Telecommunications",,2015,,
TurningIdeas Ventures,http://turningideas.com,India,Noida,Technology,Ashish Mittal,2008,,
Alliance DAO,https://alliance.xyz/,United States,San Francisco,"Web3, Blockchain",,2014,,
Ascender,https://ascenderpgh.com/,United States,Pittsburgh,Industry Agnostic,,2012,,
ExCITE,https://www.exciteriverside.org,United States,Riverside,FinTech,,,,
TargetPath,http://targetpath.com/,United States,Wilsonville,Technology,Scott Hix,,,
Maui Food Innovation Center,http://maui.hawaii.edu/foodinnovation/,United States,Kahului,"Agriculture, Food",,,,
Withinlink,http://www.withinlink.com/,China,Shanghai,Marketing,Bessie Lee,2015,,
Startup Shell,https://startupshell.org/,United States,College Park,Industry Agnostic,Justin Searles,2013,,
StarFab Accelerator,http://www.starfabx.com,Taiwan,Hsinchu,"Smart Healthcare, Smart City, RetailTech, Smart Agriculture, FinTech",,2016,,
ETC,http://etcbaltimore.com/,United States,Baltimore,"Consumer, Life Sciences",,1990,,
Accelerate South,https://www.opportunitymachine.org,United States,Lafayette,Healthcare,,2016,,
Smart City Works,http://www.smartcityworks.io,United States,Washington,"Urbantech, Infrastructure, IoT",,2016,,
Start You Up Accelerator,http://www.startyouup.com.br/,Brazil,Vitória,"Health, Energy, Education, AgTech",,2010,,
XLR8HI,http://xlr8hi.com,United States,Honolulu,Industry Agnostic,,2012,,
Kivuhub,https://kivuhub.net/,Democratic Republic Of Congo,Bukavu,"Technology, Cyber Security, Mobile, Digital Marketing","Eliud Aganze, Patrick Nahayo",2017,,
Denver Accelerator,http://www.denveraccelerator.com,United States,Denver,"SaaS, Marketplaces",,,,
TechGrind,http://www.techgrind.asia,Hong Kong,Wan Chai,Industry Agnostic,"Efraim Pettersson Ivener, Pavel Laletin",2013,,
Flmoat Inc.,https://flmoat.com/,Japan,Tokyo,"Banking, Life Insurance, Securities","Tao Yamamoto, Yo Murofushi",2021,,
Sharif Accelerator,http://setak.sharif.ir,Iran,Tehran,"Education, Energy, FinTech, Healthcare, Information Technology, IoT, Logistics, Robotics","Hamed Kashani, Majid Dehbidipour, Mona Naseri",2014,,
Start-Up Hyderabad,http://startuphyderabad.com/,India,Hyderabad,"Food, Healthcare, Education","Ravi korukonda, Raviteja Jallepalli",2014,,
Entrepreneurial Development Center,http://www.edcinc.org,United States,Cedar Rapids,"Consumer Goods, Medical Innovations, Agriculture, SaaS",,2003,,
Cognity Labs,https://www.cognitylabs.com,United States,San Francisco,AI,Mikaela Reyes,2019,,
Rev Ithaca,http://revithaca.com,United States,Ithaca,Industry Agnostic,,,,
CRRNT,http://crrnt.co/,United States,Seattle,"Cloud, AR, Motorsport, Information Technology, Software, Ecommerce, Software Consumer, Digital Marketing, Mobile Design, VR, Digital Products, Mobile Commerce",Chuck Granade,2014,,
TechX Ventures,https://www.netzerotc.com/disruptive-innovation/tech-x-clean-energy-accelerator/techx-ventures/,United States,Warren,"Technology, Cleantech, Energy System Integration, Offshore Energy 4.0, Energy Transition, Energy",David A. Rosen,2016,,
Fulcrum Venture Accelerator,https://fulcrumventureaccelerator.com/#,United States,Boulder,Industry Agnostic,Will Sacks,2019,,
Digital FastForward,https://digitalfastforward.com/,United States,Chevy Chase,Technology,Clay Richardson,2016,,
Auge,http://www.augeucr.com,Costa Rica,San Pedro,Industry Agnostic,Luis Alonso Jimenez Silva,2012,,
Comcast NBCUniversal The Farm Accelerator,https://thefarmatl.com/,United States,Atlanta,Industry Agnostic,,2016,,
BizFamous,https://BizFamous.com,United States,Phoenix,"FinTech, Information Technology, Internet, Marketing",,2016,,
Shad Valley,http://www.shad.ca,Canada,Waterloo,"Science, Technology",,1980,,
Factory45,https://factory45.co/,United States,Boston,"Fashion, FinTech",Shannon Whitehead,2014,,
Flywheel New Ventures,http://www.newventuresnc.com,United States,Winston Salem,"Health, Wellness, Nutrition, AgTech, B2B",Peter Marsh,2016,,
iStart Valley,http://www.istartvalley.org/,United States,Plano,"Mobility, Analytics, Cloud, IoT, AI, Blockchain, VR, AR",MJ Charmani,2011,,
National Incubation Center,https://nicpakistan.pk/,Pakistan,Islamabad,Industry Agnostic,,2016,,
flyingVest Ventures,http://www.flyingvest.com.tw/,Taiwan,Taipei,"Biotech, Medical Care, 5G, Data, Consumer Electronics",,2020,,
The Refinery CT,http://www.refineryct.com,United States,Westport,"Women, Technology","Janis Collins, Jennifer Gabler",2014,,
Mindshare Ventures,http://www.mindshareventures.com/,United States,Park City,Technology,Bassam Salem,2016,,
Florida-Israel Business Accelerator,http://www.fiba.io/,United States,Tampa,"HealthTech, Health, Wellness Monitoring Tech, Medical Devices, AI, Real Estate, Construction, Smart City, Sports, Hospitality",,,,
E2Tech,http://www.e2tech.org/,United States,Portland,"Energy, Environmental, Cleantech",,,,
Indicina Ventures,https://indicina.ventures/,United States,New York,Industry Agnostic,Anton Klingspor,2017,,
Conductor,https://www.arconductor.org/,United States,Conway,Industry Agnostic,,2016,,
SAP.iO Foundries,https://sap.io/foundries/,United States,San Francisco,"AI, Machine Learning, Blockchain, Robotic Process Automation, IoT, AR, VR",,2017,,
Bizion Group,https://www.biziongroup.com/,United States,Miami,"Automation, AI, Cyber Security, AgTech, EdTech, MedTech, FinTech, Aerospace, VR, Gaming, Telecommunications Datacenters, Renewable Energy, Life Sciences, Supply Chain, Environmental, Greentech, Construction",,,,
The Entrepreneurs Center,http://www.tecdayton.com,United States,Dayton,Industry Agnostic,,1998,,
CREATORS IDEAtion Lab,http://www.creatorspad.com,Israel,Tel Aviv,"Govtech, Technology, Consumer",,2015,,
Richi Entrepreneurs,https://www.richientrepreneurs.org,United States,Boston,"Biotech, MedTech, HealthTech",,2015,,
Uptima Business Bootcamp,http://www.uptimabootcamp.com,United States,Oakland,Industry Agnostic,"Rani Croager, Seyed Amiry",2014,,
Tacklebox Accelerator,http://www.tackleboxaccelerator.com/,United States,New York,Industry Agnostic,Brian Scordato,2015,,
EcoTech Visions,http://ecotechvisions.com/,United States,Miami,"Food, Consumer Goods, Energy",Pandwe Gibson,,,
Center for Civic Innovation,http://www.civicatlanta.org/,United States,Atlanta,Industry Agnostic,Rohit Malhotra,,,
USC Incubator,http://startusc.com/,United States,Los Angeles,Industry Agnostic,,,,
Health IT Connections,http://www.njii.com/healthit,United States,Newark,Healthcare,,2014,,
Mission Accelerator,https://missioncapital.org/what-we-do/accelerator/,United States,Austin,Social Impact,,,,
Y&Archer,http://ynarcher.com/,South Korea,Seoul,Industry Agnostic,,2015,,
Plug and Play Startup Camp,https://www.plugandplaytechcenter.com/startupcamp/,United States,Sunnyvale,Industry Agnostic,,,,
Pivotal Ventures Inc,http://www.pivotalvc.com/,United States,Santa Barbara,Technology,Jas Dhillon,2001,,
I&CO,https://iandco.com/,United States,Brooklyn,Industry Agnostic,"Rei Inamoto, Rem Reynolds",2016,,
Aspire Labs,https://www.aspirelabs.com/,India,Noida,Industry Agnostic,Ranjit Singh,,,
805 Startups,https://www.805startups.com/,United States,Westlake Village,Industry Agnostic,Alon Goren,,,
Flagship Ventures,https://www.flagshipventuresbd.com/,Bangladesh,Dhaka,"Mobility, Logistics, FinTech",Ahnaf Shahriar,2021,,
Fuse Corps,http://fusecorps.org,United States,San Francisco,"Communities, Health, Climate, Legaltech, Real Estate, Education",,2011,,
Vantedge Ventures | Healthcare Innovation Fund,https://www.vantedgeventureshealth.com/,United States,Chicago,"Health Systems, Healthcare Innovations",,2017,,
Institute for Innovation & Entrepreneurship at UTD,http://innovation.utdallas.edu,United States,Richardson,Industry Agnostic,,,,
Feast Creative Foods,https://www.feast-china.com/,China,Shanghai,Food,,2018,,
Sow Asia,http://sowasia.org,Hong Kong,Hong Kong,Social Impact,Darius Yuen,2009,,
The IMPACT Startup Visa Accelerator Program,https://spring.is/programs/impact-startup-visa-program-canada/,Canada,Vancouver,Industry Agnostic,,,,
Global Entrepreneurship Institute,https://news.gcase.org,United States,Laguna Beach,Industry Agnostic,Robert W Price,1996,,
TechBA,http://techba.org/,Mexico,Mexico City,"Aerospace, Technology",,2005,,
bwtech@UMBC Research and Technology Park,http://www.bwtechumbc.com,United States,Baltimore,"Cyber Security, Information Technology, Technology, Life Science, Biotech, Engineering, Govtech",,2009,,
Social Innovation Forum,http://www.socialinnovationforum.org/,United States,Boston,"Health, Workforce, Disabilities Access, Education, Impact, Environmental, Sustainability",,2015,,
Gold Ark,http://goldark.kr/,South Korea,Seoul,"VR, AR, Hologram, Games, EdTech, System Semiconductor, 3D Printing, Smart Factories, 5G Networks, Advanced Materials, ICT, AI, Big Data, Cloud, IoT Drones, Intelligent Robots, Self-Driving Cars, Smart Healthcare, Pharmaceutical, Molecular Diagnosis Technology, Smart Farm, FinTech, Blockchain, FoodTech, New, Renewable Energy",,,,
Betablox,http://betablox.com,United States,Kansas City,"Technology, Food, Ecommerce",,,,
SF Housing Accelerator,https://www.sfhaf.org/,United States,San Francisco,"Real Estate, Affordable Housing, Energy Efficiency, Renewable Energy, Microcredit",,,,
Peracha Ventures,http://www.peracha.org,Pakistan,Karachi,Industry Agnostic,Sarah Peracha,2013,,
Lemon Ideas,http://lemonideas.in/,India,Nagpur,"Waste, Recycling, Green Energy, Environment, Sustainability, Education, Learning, Technology, Social, AgTech, EdTech, HealthTech, Healthcare, Entertainment, Travel, Hospitality, Agriculture",Deepak Menaria,,,
Fuel,https://www.fuelaccelerator.com/,United States,Bentonville,"Consumer Packaged Goods, Supply Chain, HRtech, AdTech, AgTech, Business Process Automation, Productivity, AI, Machine Learning",,2018,,
The Hood Incubator,http://www.hoodincubator.org,United States,Oakland,Healthcare,"Ebele Ifedigbo, Lanese Martin",2017,,
The Edge Accelerator,https://www.fitci.org/the-edge.html?fbclid=IwAR0OR_GV6ioLOWS4h9pd7Iq4QkvDMOx_8RMhl-ElHi0zgu4CKvDZ-Z0CCo8,United States,Frederick,"AgTech, Agbio, Cleantech, Aquatech, Agriculture",,,,
NYDesigns,http://www.nydesigns.org,United States,Long Island City,Hardware,,2006,,
Build Institute,http://buildinstitute.org/,United States,Detroit,Industry Agnostic,April Jones-Boyle,2012,,
Apples and Oranges Studios,http://nycoc.com/,United States,Orlando,"Entertainment, Art, Theatre",,2013,,
WKU Small Business Accelerator,https://www.wku.edu/accelerator/,United States,Bowling Green,Industry Agnostic,,,,
Riversands Incubation Hub,http://riversandsihub.co.za/,South Africa,Johannesburg,Industry Agnostic,,2014,,
INCmty,http://www.incmty.com,Mexico,Monterrey,Industry Agnostic,,2013,,
THE GAIN,https://thegain.in/,India,Bangalore,"EdTech, Healthcare, FinTech, AgTech, Industry 4.0",B. V. Naidu,2018,,
EduGrowth,http://edugrowth.org.au/,Australia,Pyrmont,EdTech,,2016,,
42Angelitos,http://www.42angelitos.com,United States,Palo Alto,Industry Agnostic,Chris H. Leeb,2011,,
Founders Floor,http://www.FoundersFloor.com,United States,San Jose,Technology,Matt Day,2014,,
Girişim Fabrikası,http://girisimfabrikasi.com,Turkey,Çekmeköy,"Intelligent Transportation, Intelligent Production Systems, Energy, Cleantech, Communication, Digital, Health, Wellness",,2011,,
Energy Hub Ventures,https://www.energyhubventures.com/,Indonesia,Jakarta,Energy,,2020,,
The International Business Accelerator,http://www.iba.io/iba-at-lbcc,United States,Long Beach,"Information Technology, Legaltech, HRtech",,2014,,
Biomimicry Startup Innovation,https://innovation.biomimicry.org/,United States,Missoula,Industry Agnostic,,,,
511 Capital,http://www.511capital.com/,United States,Evanston,"Consumer, Fashion, B2B",Russell Potterfield,,,
Startups House,http://www.startupshouse.com/,Saudi Arabia,Jeddah,Industry Agnostic,"Bader Altheibany, Bahar AlHarbi, Fouad Basyyoni",2017,,
StartHub Miami,http://www.starthubcenters.com/,United States,Miami,Industry Agnostic,,,,
FCJ USA,http://fcjventurebuilder.com/en,United States,Newton,Industry Agnostic,"Cris Madureira, Marcelo Guerra Freitas, Paulo Justino",2021,,
